"x","y","status","PA1","PA2","PA3","PA4"
-6296944.0766997,-4238194.8671982,1,TRUE,TRUE,TRUE,TRUE
-6230944.0766997,-4766194.8671982,1,TRUE,TRUE,TRUE,TRUE
1755055.9233003,6305305.1328018,NA,FALSE,FALSE,TRUE,FALSE
2431555.9233003,6074305.1328018,NA,FALSE,TRUE,FALSE,FALSE
649555.9233003,6024805.1328018,NA,FALSE,FALSE,TRUE,FALSE
1936555.9233003,5942305.1328018,NA,FALSE,FALSE,TRUE,FALSE
1870555.9233003,5925805.1328018,NA,FALSE,FALSE,TRUE,FALSE
1326055.9233003,5810305.1328018,NA,FALSE,FALSE,FALSE,TRUE
1095055.9233003,5711305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8441944.0766997,5628805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2365555.9233003,5579305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-9679444.0766997,5562805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-7699444.0766997,5562805.1328018,NA,FALSE,FALSE,TRUE,FALSE
616555.9233003,5546305.1328018,NA,FALSE,TRUE,FALSE,FALSE
930055.9233003,5529805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-7072444.0766997,5513305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-6907444.0766997,5513305.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8771944.0766997,5447305.1328018,NA,FALSE,FALSE,TRUE,FALSE
2085055.9233003,5430805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-9794944.0766997,5414305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-6692944.0766997,5414305.1328018,NA,FALSE,FALSE,TRUE,FALSE
1540555.9233003,5364805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-9118444.0766997,5348305.1328018,NA,FALSE,FALSE,TRUE,FALSE
1441555.9233003,5315305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-59944.0766997002,5298805.1328018,NA,TRUE,FALSE,FALSE,FALSE
402055.9233003,5265805.1328018,NA,TRUE,FALSE,FALSE,FALSE
451555.9233003,5199805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-8936944.0766997,5166805.1328018,NA,FALSE,TRUE,FALSE,FALSE
979555.9233003,5133805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-8276944.0766997,5100805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-538444.0766997,5084305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-7220944.0766997,5051305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-6923944.0766997,5051305.1328018,NA,FALSE,FALSE,FALSE,TRUE
2761555.9233003,4985305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-7567444.0766997,4968805.1328018,NA,FALSE,FALSE,FALSE,TRUE
5022055.9233003,4968805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-7484944.0766997,4919305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-10058944.0766997,4902805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8606944.0766997,4820305.1328018,NA,FALSE,FALSE,FALSE,TRUE
-6428944.0766997,4803805.1328018,NA,FALSE,FALSE,TRUE,FALSE
3487555.9233003,4737805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-10388944.0766997,4704805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2943055.9233003,4688305.1328018,NA,FALSE,FALSE,TRUE,FALSE
5088055.9233003,4688305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-8128444.0766997,4671805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-6610444.0766997,4671805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-109444.0766997,4671805.1328018,NA,FALSE,FALSE,TRUE,FALSE
3207055.9233003,4655305.1328018,NA,TRUE,FALSE,FALSE,FALSE
5352055.9233003,4655305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-7814944.0766997,4638805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-6758944.0766997,4622305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3009055.9233003,4622305.1328018,NA,FALSE,FALSE,TRUE,FALSE
5583055.9233003,4572805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-9332944.0766997,4556305.1328018,NA,FALSE,FALSE,FALSE,TRUE
4675555.9233003,4539805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-7847944.0766997,4523305.1328018,NA,FALSE,FALSE,FALSE,TRUE
-7435444.0766997,4506805.1328018,NA,FALSE,FALSE,FALSE,TRUE
5368555.9233003,4506805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8293444.0766997,4490305.1328018,NA,TRUE,FALSE,FALSE,FALSE
3091555.9233003,4490305.1328018,NA,TRUE,FALSE,FALSE,FALSE
2926555.9233003,4457305.1328018,NA,FALSE,FALSE,FALSE,TRUE
5467555.9233003,4457305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-9844444.0766997,4407805.1328018,NA,FALSE,FALSE,FALSE,TRUE
138055.9233003,4391305.1328018,NA,FALSE,TRUE,FALSE,FALSE
5368555.9233003,4374805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-10372444.0766997,4358305.1328018,NA,TRUE,FALSE,FALSE,FALSE
